tc	idx	sha	date	bench	mbs	cb	ib	subject
clangpaper	010	817f10dd7d4e	2026-02-23T15:00:26-05:00	serialization_twitter	4614.54	0.75	3.44	Add LoongArch LSX support for find_next_json_quotable_character (#2608)
clangpaper	010	817f10dd7d4e	2026-02-23T15:00:26-05:00	serialization_citm	2813.94	1.23	6.05	Add LoongArch LSX support for find_next_json_quotable_character (#2608)
clangpaper	010	817f10dd7d4e	2026-02-23T15:00:26-05:00	parsing_twitter	4761.56	0.73	2.6	Add LoongArch LSX support for find_next_json_quotable_character (#2608)
clangpaper	010	817f10dd7d4e	2026-02-23T15:00:26-05:00	parsing_citm	2291.5	1.5	6.14	Add LoongArch LSX support for find_next_json_quotable_character (#2608)
clangpaper	011	3cd9875f1f1a	2026-02-25T01:06:08-05:00	serialization_twitter	4610.44	0.75	3.44	simplifying the find_next_json_quotable_character fnc for neon processors (#2613)
clangpaper	011	3cd9875f1f1a	2026-02-25T01:06:08-05:00	serialization_citm	2807.18	1.23	6.05	simplifying the find_next_json_quotable_character fnc for neon processors (#2613)
clangpaper	011	3cd9875f1f1a	2026-02-25T01:06:08-05:00	parsing_twitter	4781.33	0.72	2.6	simplifying the find_next_json_quotable_character fnc for neon processors (#2613)
clangpaper	011	3cd9875f1f1a	2026-02-25T01:06:08-05:00	parsing_citm	2291.42	1.5	6.14	simplifying the find_next_json_quotable_character fnc for neon processors (#2613)
clangpaper	012	ec675d9c6188	2026-02-28T13:11:47-05:00	serialization_twitter	4612.17	0.75	3.44	Add RISC-V RVV support for find_next_json_quotable_character (#2617)
clangpaper	012	ec675d9c6188	2026-02-28T13:11:47-05:00	serialization_citm	2809.37	1.23	6.05	Add RISC-V RVV support for find_next_json_quotable_character (#2617)
clangpaper	012	ec675d9c6188	2026-02-28T13:11:47-05:00	parsing_twitter	4787.47	0.72	2.6	Add RISC-V RVV support for find_next_json_quotable_character (#2617)
clangpaper	012	ec675d9c6188	2026-02-28T13:11:47-05:00	parsing_citm	2292.27	1.51	6.14	Add RISC-V RVV support for find_next_json_quotable_character (#2617)
clangpaper	013	2922822622d8	2026-03-08T14:06:01-04:00	serialization_twitter	4560.7	0.76	3.44	altivec version of find_next_json_quotable_character (#2622)
clangpaper	013	2922822622d8	2026-03-08T14:06:01-04:00	serialization_citm	2807.54	1.23	6.05	altivec version of find_next_json_quotable_character (#2622)
clangpaper	013	2922822622d8	2026-03-08T14:06:01-04:00	parsing_twitter	4778.85	0.72	2.6	altivec version of find_next_json_quotable_character (#2622)
clangpaper	013	2922822622d8	2026-03-08T14:06:01-04:00	parsing_citm	2298.22	1.5	6.14	altivec version of find_next_json_quotable_character (#2622)
clangpaper	014	019bf1dfe031	2026-03-12T14:36:01-04:00	serialization_twitter	4652.89	0.75	3.44	adding memory-file mapping (#2625)
clangpaper	014	019bf1dfe031	2026-03-12T14:36:01-04:00	serialization_citm	2801.93	1.23	6.05	adding memory-file mapping (#2625)
clangpaper	014	019bf1dfe031	2026-03-12T14:36:01-04:00	parsing_twitter	4789.14	0.72	2.6	adding memory-file mapping (#2625)
clangpaper	014	019bf1dfe031	2026-03-12T14:36:01-04:00	parsing_citm	2294.2	1.5	6.14	adding memory-file mapping (#2625)
clangpaper	015	6065b3b4240d	2026-03-12T20:40:43-04:00	serialization_twitter	4626.36	0.75	3.44	disabling loongson LASX runtime dispatching everywhere but GCC15+ (#2626)
clangpaper	015	6065b3b4240d	2026-03-12T20:40:43-04:00	serialization_citm	2833.72	1.23	6.05	disabling loongson LASX runtime dispatching everywhere but GCC15+ (#2626)
