date	sha	tag	metric	value	subject
2024-08-05	add9cb01c733	v2.3.3	or_successive/weather_sept_85	8618.7	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_successive/weather_sept_85	7574.4	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	and_cardinality/weather_sept_85	6713.7	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	fast_or/weather_sept_85	1968.0	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	contains/weather_sept_85	21435.4	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	iterate/weather_sept_85	64277.3	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	iterate_many/weather_sept_85	16392.9	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	to_array/weather_sept_85	16696.1	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	add9cb01c733	v2.3.3	deserialize/weather_sept_85	1337.1	Merge pull request #442 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	or_successive/census1881	3106.9	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	and_successive/census1881	40.5	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	and_cardinality/census1881	32.0	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	fast_or/census1881	5044.6	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	contains/census1881	6426.4	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	iterate/census1881	3384.1	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	iterate_many/census1881	471.7	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	to_array/census1881	843.2	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	deserialize/census1881	374.0	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	or_successive/census-income	2254.8	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	and_successive/census-income	1920.0	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	and_cardinality/census-income	1471.1	Merge pull request #443 from RoaringBitmap/issue440
2024-08-05	de7ededa5d0c	v2.3.4	fast_or/census-income	1020.1	Merge pull request #443 from RoaringBitmap/issue440
