"apache_builds"					3.029636	6.492297	5.694886
"canada"					1.040843	5.285969	1.299083
"citm_catalog"					3.344352	6.777575	6.611206
"github_events"					3.325776	6.966734	6.391129
"google_maps_api_compact_response"					1.341968	3.789541	2.082511
"google_maps_api_response"					2.596697	6.075885	4.566480
"gsoc-2018"					3.704212	7.457675	7.377343
"instruments"					2.709050	5.790046	5.106275
"marine_ik"					1.097730	4.127360	1.496866
"mesh"					0.993608	4.198806	1.304594
"mesh.pretty"					1.736278	6.307722	2.398790
"numbers"					1.181474	5.408510	1.514645
"random"					1.911623	4.269908	3.465459
"repeat"					2.824173	4.781474	6.903343
"semanticscholar-corpus"					2.506613	5.223090	4.842569
"tree-pretty"					2.838508	6.134564	5.304882
"twitter"					2.981221	5.850178	6.093352
"twitter_api_compact_response"					2.498140	5.475543	4.615208
"twitter_api_response"					3.095170	6.240998	6.172805
"twitter_timeline"					1.794171	5.724956	2.618938
"twitterescaped"					1.125543	6.213835	1.374516
"update-center"					2.453649	5.753078	4.293728
