goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000006 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
