goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000002 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000020 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000020 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000028 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000020 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000028 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000020 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000028 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
