"apache_builds"					3.011713	6.566321	5.571485
"canada"					1.010468	4.914358	1.274122
"citm_catalog"					3.339515	6.911747	6.461983
"github_events"					3.297322	7.017022	6.237502
"google_maps_api_compact_response"					1.297309	3.599025	2.036201
"google_maps_api_response"					2.583078	6.117178	4.478723
"gsoc-2018"					3.774664	7.643351	7.487627
"instruments"					2.638716	5.880127	4.796909
"marine_ik"					1.101042	3.888037	1.541132
"mesh"					0.992402	4.140187	1.308184
"mesh.pretty"					1.736490	6.401829	2.384711
"numbers"					1.191139	5.701417	1.508390
"random"					1.876978	4.295996	3.337033
"repeat"					2.780607	4.848847	6.556582
"semanticscholar-corpus"					2.227709	4.598771	4.365655
"tree-pretty"					2.716026	6.014970	4.971371
"twitter"					2.923166	5.811898	5.890394
"twitter_api_compact_response"					2.420711	5.384821	4.411121
"twitter_api_response"					3.026989	6.218100	5.923495
"twitter_timeline"					1.761396	5.622820	2.571420
"twitterescaped"					1.101297	6.164591	1.341507
"update-center"					2.469491	5.762280	4.324093
